participant,mist_v,mist_r,mist_f,mist_d,mist_n,gcb
826867,16,9,7,0,1,21
826869,15,7,8,2,0,14
826888,13,5,8,4,0,20
826899,18,10,8,0,1,14
826921,16,10,6,0,3,20
826936,14,8,6,0,1,16
826937,17,8,9,2,0,11
826961,15,8,7,0,0,23
826968,18,10,8,0,1,7
826972,3,2,1,0,0,22
826973,10,7,3,0,3,18
826974,12,6,6,1,0,18
827061,12,6,6,1,0,19
827105,9,5,4,0,0,17
827117,17,9,8,0,0,17
827237,16,9,7,0,1,24
800619,15,8,7,0,0,14
800686,14,6,8,3,0,15
800700,14,6,8,3,0,14
800706,18,9,9,1,0,13
800712,17,9,8,0,0,8
800715,13,7,6,0,0,11
800719,14,8,6,0,1,10
800721,12,6,6,1,0,19
800729,19,10,9,0,0,18
800734,10,1,9,9,0,7
800746,13,7,6,0,0,14
800757,15,8,7,0,0,9
800764,14,7,7,1,0,18
800799,15,7,8,2,0,12
800831,17,10,7,0,2,9
800986,14,8,6,0,1,6
801154,14,8,6,0,1,12
801528,11,6,5,0,0,10
801565,13,8,5,0,2,17
801973,17,9,8,0,0,9
802029,16,9,7,0,1,15
803867,14,6,8,3,0,12
805879,11,8,3,0,4,13
808560,16,10,6,0,3,6
828657,16,7,9,3,0,14
